Date,open,high,low,close,volume,trade_date,sqz_on,sqz_off,sqz_val,tr,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,weekly_bull,near_ema50,momentum_up,sqz_fired,entry_fired,entry_pullback,entry_strong,entry_fired_next,entry_pullback_next,entry_strong_next
2025-08-15,1162.6373239290915,1172.5321096646583,1157.6899310613082,1167.584716796875,22231552,2025-08-15,False,True,24.425985552061327,14.842178603350021,22.97007618581412,1162.3193913576927,1140.762220563919,1094.5290180167794,1162.6373291015625,1177.479507770944,True,False,False,False,False,False,False,False,False,False
2025-08-18,1157.6899310613082,1172.5321096646583,1157.6899310613082,1167.584716796875,18219895,2025-08-18,False,True,25.115085193901564,14.842178603350021,22.970076151933295,1163.489463677511,1143.2006293123695,1097.3939473807047,1157.6899310613082,1172.5321096646583,True,False,True,False,False,False,False,False,False,False
2025-08-19,1167.584711646229,1172.5321044921875,1162.6373188002704,1172.5321044921875,17867547,2025-08-19,False,True,25.798884897086044,9.89478569191715,22.263297806274036,1165.4989394141057,1145.8671270559894,1100.3405417772335,1157.6899310613082,1172.5321096646583,True,False,True,False,False,False,False,False,False,False
2025-08-20,1152.7424606793777,1152.7424606793777,1123.05810546875,1123.05810546875,66982023,2025-08-20,False,True,15.131929920751553,49.4739990234375,24.030221605712136,1156.0676429818045,1143.7935796389677,1101.2314266278813,1162.6373188002704,1172.5321044921875,True,True,False,False,False,False,False,False,False,False
2025-08-21,1128.0056046195652,1142.8477836277175,1128.0056046195652,1137.900390625,23424804,2025-08-21,False,True,9.126156623002547,19.78967815896749,24.736999623214956,1152.0304757914034,1143.2578351831526,1102.6694252160037,1123.05810546875,1152.7424606793777,True,False,False,False,False,False,False,False,False,False
2025-08-22,1142.8476756091684,1142.8476756091684,1123.05810546875,1123.05810546875,19205763,2025-08-22,False,True,0.9470448522142334,19.78957014041839,23.67683708916739,1145.5921712752581,1141.4214961182067,1103.468981304347,1128.0056046195652,1142.8477836277175,True,True,False,False,False,False,False,False,False,False
2025-08-25,1152.7425484942576,1167.584727230235,1147.795155582265,1157.68994140625,25103514,2025-08-25,False,True,-0.18201500494108558,44.5266217614851,25.797146846684182,1148.2805646377008,1142.9004456898472,1105.595293465206,1123.05810546875,1142.8476756091684,True,False,False,False,False,False,False,False,False,False
2025-08-26,1152.7425433219746,1172.5321148811502,1147.795150432181,1162.6373291015625,35508897,2025-08-26,False,True,-0.47885278639154194,24.736964448969275,25.797148701856095,1151.470956740781,1144.6947078181847,1107.8322360391808,1147.795155582265,1167.584727230235,True,False,False,False,False,False,False,False,False,False
2025-08-27,1177.4794921875,1177.4794921875,1167.5847065388657,1177.4794921875,21952558,2025-08-27,False,True,0.8922738208135144,14.8421630859375,22.970070018820383,1157.2506312844964,1147.67514276085,1110.5635009861737,1147.795150432181,1172.5321148811502,True,False,True,False,False,False,False,False,False,False
2025-08-28,1172.5321308004445,1172.5321308004445,1147.795166015625,1147.795166015625,19975237,2025-08-28,False,True,-1.5407763838002637,29.684326171875,24.030223411855623,1155.1494167803028,1147.6860539658294,1112.0235662814462,1167.5847065388657,1177.4794921875,True,False,False,False,False,False,False,False,False,False
2025-08-29,1167.5847378434805,1172.5321308004445,1147.795166015625,1147.795166015625,19522740,2025-08-29,False,True,-3.1663415370447154,24.73696478481952,23.676838238864143,1153.5151388325967,1147.6959732430835,1113.426374114159,1147.795166015625,1172.5321308004445,True,False,False,False,False,False,False,False,False,False
