Date,open,high,low,close,volume,dividends,stock splits,capital gains,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,entry_signal,day_low_so_far
2025-05-20,44.516084607757506,44.6507192093703,44.185609029489555,44.25904846191406,21364336,0.0,0.0,0.0,2025-05-20,False,True,3.7238756770117405,0.6915477222936016,43.908619235699895,42.80159948740789,42.9643009415548,44.14888922709574,44.71191613510243,43.8084965996387,42.65585458995727,43.70424804335522,42.50410339428991,1.1024011575210158,0.6447534759701418,0.457647681550874,0.8046690673502558,False,False,44.185609029489555
2025-05-21,44.28352592267128,45.005675985965475,44.28352592267128,44.94447708129883,54450212,0.0,0.0,0.0,2025-05-21,False,True,3.4646069869461162,0.718650161265416,44.13880986805522,42.996406541397974,43.041954907819274,44.185609029489555,44.6507192093703,43.908619235699895,42.80159948740789,43.8084965996387,42.65585458995727,1.0815079633377307,0.6447685742225591,0.43673938911517163,0.6414563070420486,False,False,44.28352592267128
2025-05-22,44.565040851161164,44.565040851161164,44.210087969264755,44.45488357543945,33358772,0.0,0.0,0.0,2025-05-22,False,True,3.189364825516073,0.6854278808680172,44.20904846969616,43.12899536267447,43.09736387517693,44.28352592267128,45.005675985965475,44.13880986805522,42.996406541397974,43.908619235699895,42.80159948740789,1.0102031295070601,0.6951525861739797,0.31505054333308047,0.04893920838167336,False,False,44.210087969264755
2025-05-23,44.736396159324535,44.74863668645237,44.11216662864916,44.27128601074219,26094416,0.0,0.0,0.0,2025-05-23,False,True,2.763949284225905,0.6487084287122735,44.22287903437305,43.23283996704427,43.14340003735596,44.210087969264755,44.565040851161164,44.20904846969616,43.12899536267447,44.13880986805522,42.996406541397974,1.0431253631924295,0.6873313849988635,0.35579397819356606,0.14516373296248886,False,False,44.11216662864916
2025-05-26,44.22232437133789,44.4304021288651,44.13664815110305,44.22232437133789,55195720,0.0,0.0,0.0,2025-05-26,False,True,2.3987399345097438,0.6216060070889792,44.22275577592079,43.32279309470733,43.18571079555133,44.11216662864916,44.74863668645237,44.22287903437305,43.23283996704427,44.20904846969616,43.12899536267447,1.0632901140557318,0.6399431112035177,0.42334700285221416,0.3977172046622929,False,False,44.13664815110305
2025-05-27,44.22232487399363,44.22232487399363,43.57361801009202,43.83065414428711,48275072,0.0,0.0,0.0,2025-05-27,False,True,1.9940139613079904,0.6233543887252557,44.13562208000219,43.368962281032765,43.211002691580184,44.13664815110305,44.4304021288651,44.22275577592079,43.32279309470733,44.22287903437305,43.23283996704427,0.98176629435463,0.676016153316777,0.30575014103785303,-0.2993865921777579,False,False,43.57361801009202
2025-05-28,44.283521060392104,44.393682064924285,43.647054762913065,43.904090881347656,32309448,0.0,0.0,0.0,2025-05-28,False,True,1.6179332668087612,0.6268514945452927,44.08417070252341,43.417610335606845,43.23818262059067,43.57361801009202,44.22232487399363,44.13562208000219,43.368962281032765,44.22275577592079,43.32279309470733,0.9790781417573219,0.7126915921883542,0.2663865495689677,-0.5248853966252279,False,False,43.647054762913065
2025-05-29,44.43040265758446,44.47936103191332,43.89185306939791,44.002010345458984,36265824,0.0,0.0,0.0,2025-05-29,False,True,1.258948894182447,0.6233544698429883,44.06591284539798,43.47073760922977,43.26813664901688,43.647054762913065,44.393682064924285,44.08417070252341,43.417610335606845,44.13562208000219,43.368962281032765,0.9859740322302462,0.7503500883412358,0.2356239438890103,-0.7258022389380067,False,False,43.89185306939791
2025-06-02,43.57361585255516,43.58585637934589,42.90042796719265,43.05954360961914,70595756,0.0,0.0,0.0,2025-06-02,False,True,0.8587116765452656,0.6626966703841894,43.842275237447126,43.43335633653789,43.25995652982482,43.89185306939791,44.47936103191332,44.06591284539798,43.47073760922977,44.08417070252341,43.417610335606845,0.8377303580151375,0.8614769203136418,-0.023746562298504248,-1.9028014293528324,False,False,42.90042796719265
2025-06-03,43.451219505892574,43.76945453665459,43.32882170446752,43.36553955078125,28229464,0.0,0.0,0.0,2025-06-03,False,True,0.5366520306490958,0.6364686006046851,43.7363339737436,43.42719117419637,43.264097040450565,42.90042796719265,43.58585637934589,43.842275237447126,43.43335633653789,44.06591284539798,43.47073760922977,0.815933456393811,0.8749989201525085,-0.05906546375869748,-1.9872511679619844,False,False,43.32882170446752
